Food,Rasa,Virya,Vipaka,Dosha_Effect
Fried Rice,"Salty, Umami, Pungent",Heating,Pungent,Increases Pitta; reduces Kapha through activity-based digestion
Vegetable Spring Rolls,"Sweet, Sour, Salty",Cooling,Sweet,Balances Kapha; light for Vata and Pitta with dipping sauce
Masala Gobhi,"Pungent, Sweet",Heating,Pungent,Balances Vata; reduces Kapha when eaten with greens
Corn Soup,"Sweet, Salty",Cooling,Sweet,Balances Vata and Kapha; light for Pitta
Gujarati Thali Snack Mix,"Sweet, Salty, Spicy",Heating,Pungent,"Elevates Kapha, balances Vata with yogurt dips"
Idiyappam with Coconut,"Sweet, Creamy",Cooling,Sweet,Balances Vata and Kapha; energizes Pitta mildly
Aloo Gojju,"Sweet, Sour, Spicy",Heating,Pungent,Balances Vata; can elevate Pitta with chilies
Curry Leaves Dosa,"Umami, Spicy",Heating,Pungent,Balances Vata; reduces Kapha with greens-based batter
Paneer Do Pyaza,"Sweet, Sour, Spicy",Heating,Pungent,"Balances Vata and Pitta, increases Kapha with cheese content"
Hazelnut Pulao,"Sweet, Nutty",Cooling,Sweet,Balances all doshas; energizes Kapha with nuts
Fennel Spice Rice,"Sweet, Aromatic",Cooling,Sweet,Balances Vata; light for Kapha and Pitta
Curry Laksa,"Spicy, Sour, Umami",Heating,Pungent,Balances Kapha; elevates Pitta with coconut milk richness
Paneer Pulao,"Sweet, Salty, Umami",Cooling,Sweet,"Balances Vata, Kapha; moderate for Pitta"
Tom Kha Soup,"Sweet, Sour, Spicy",Cooling,Sour,Balancing for Vata and Kapha; Pitta may rise with lime
Raita with Cucumber,"Sweet, Salty",Cooling,Sweet,"Balances Vata and Pitta, reduces Kapha tendency"
Aish Fula Dal,"Sweet, Nutty",Cooling,Sweet,Balances all doshas; gentle digestion
Methi Thepla with Yogurt,"Sweet, Salty, Astringent",Cooling,Sweet,Balances Vata and Kapha; yogurt dampens Kapha further
Coconut Rice Pudding,"Sweet, Creamy",Cooling,Sweet,Balances Vata and Kapha; Pitta energized with spices kept moderate
Garam Masala Chana,"Sweet, Sour, Spicy",Heating,Pungent,Balances Vata; increases Pitta with chili presence
Paneer Kulcha,"Sweet, Salty",Heating,Sweet,Balances Vata and Kapha; Pitta may rise with fat content
Mango Rice with Pepper,"Sweet, Spicy",Heating,Sweet,Balances Vata; Kapha may rise with coconut oil
Carrot Halwa,"Sweet, Rich",Cooling,Sweet,Balances Vata and Kapha; energizes Pitta with diurnal pattern
Paneer Bhuna,"Sweet, Spicy",Heating,Pungent,Balances Vata; increases Kapha with heavy fat usage
Sundal (South Indian Chickpeas),"Sweet, Nutty",Cooling,Sweet,Balances all three doshas with legume protein
Herbed Couscous,"Sweet, Umami",Cooling,Sweet,Balances Vata and Pitta; light for Kapha
Paneer Shahi Korma,"Sweet, Rich, Nutty",Cooling,Sweet,Balances Vata and Kapha; Pitta may rise with richness
Lentil Salad,"Sweet, Sour, Fresh",Cooling,Sweet,Balances all doshas; especially Vata and Kapha
Tomato Soup with Basil,"Sweet, Sour, Fresh",Cooling,Sweet,Balances Vata and Pitta; Kapha neutralized with oats crackers
Spiced Pineapple Rice,"Sweet, Sour, Spicy",Heating,Sweet,Balances Pitta; Kapha elevated with pineapple sweetness
Beetroot Poriyal,"Sweet, Nutty",Cooling,Sweet,Balances Vata and Pitta; supports Kapha stability
Mushroom Bruschetta,"Umami, Sweet, Silky",Cooling,Sweet,Balances all doshas with mushroom grounding flavor
Saffron Milk,"Sweet, Floral",Cooling,Sweet,Balances Vata and Pitta; Kapha adjust with portion size
Spinach Tofu Bhurji,"Sweet, Salty, Umami",Cooling,Sweet,Balances Vata and Kapha; Pitta energized by iron-rich greens
